Sales,Quantity,Discount,Profit,DimCustomer.Customer ID,DimProduct.Product ID,DimSales.Sales Rep,Dimlocation.Location ID,Dimship.Ship Date,DimOrder.Order ID
6.48,1,0,3.1104,JS-15685,"OFF-PA-10000304,Xerox 1995",Mary Gerrard,"90036,Los Angeles",22/09/2016,CA-2016-109806
383.438,4,0.45,-167.3184,NB-18655,"FUR-TA-10001095,Chromcraft Round Conference Tables",Thompson Crawford,"32216,Jacksonville",22/09/2016,CA-2016-140928
407.976,3,0.2,132.5922,IM-15070,"OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine",Organic,"98103,Seattle",10/12/2016,CA-2016-161389
1097.544,7,0.2,123.4737,GH-14485,"TEC-PH-10004977,GE 30524EE4",Alan Ray,"75080,Richardson",10/12/2016,CA-2016-117590
190.92,5,0.6,-147.963,GH-14485,"FUR-FU-10003664,Electrix Architect's Clamp-On Swing Arm Lamp, Black",Jessica Smith,"75080,Richardson",10/12/2016,CA-2016-117590
32.4,5,0,15.552,MO-17800,"OFF-PA-10004100,Xerox 216",Steve Pepple,"90036,Los Angeles",19/09/2015,CA-2015-133025
68.81,5,0.8,-123.858,HP-14815,"OFF-AP-10002311,Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Alan Ray,"76106,Fort Worth",26/11/2015,US-2015-118983
2.544,3,0.8,-3.816,HP-14815,"OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders",Organic,"76106,Fort Worth",26/11/2015,US-2015-118983
19.46,7,0,5.0596,SN-20560,"OFF-AR-10003732,Newell 333",Alan Ray,"90008,Los Angeles",26/11/2015,CA-2015-144652
665.88,6,0,13.3176,PK-19075,"OFF-ST-10004186,Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Organic,"53711,Madison",18/11/2014,CA-2014-105893
55.5,2,0,9.99,AG-10270,"OFF-ST-10000107,Fellowes Super Stor/Drawer",Organic,"84084,West Jordan",15/05/2014,CA-2014-167164
167.97,3,0,40.3128,PG-18820,"TEC-AC-10000109,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive",Organic,"94110,San Francisco",15/05/2014,US-2014-102071
67.8,4,0,4.068,PG-18820,"TEC-AC-10003441,Kingston Digital DataTraveler 32GB USB 2.0",Organic,"94110,San Francisco",15/05/2014,US-2014-102071
34.79,7,0,10.7849,HL-15040,"FUR-FU-10000010,DAX Value U-Channel Document Frames, Easel Back",Organic,"53209,Milwaukee",15/05/2014,CA-2014-127159
8.56,2,0,2.4824,ZD-21925,"OFF-AR-10003056,Newell 341",Organic,"94109,San Francisco",01/09/2014,CA-2014-143336
213.48,3,0.2,16.011,ZD-21925,"TEC-PH-10001949,Cisco SPA 501G IP Phone",Organic,"94109,San Francisco",01/09/2014,CA-2014-143336
22.72,4,0.2,7.384,ZD-21925,"OFF-BI-10002215,Wilson Jones Hanging View Binder, White, 1""",Organic,"94109,San Francisco",01/09/2014,CA-2014-143336
19.46,7,0,5.0596,KB-16585,"OFF-AR-10000246,Newell 318",Steve Pepple,"68025,Fremont",13/12/2016,CA-2016-137330
60.34,7,0,15.6884,KB-16585,"OFF-AP-10001492,Acco Six-Outlet Power Strip, 4' Cord Length",Morris Garcia,"68025,Fremont",13/12/2016,CA-2016-137330
80.58,6,0,22.5624,DL-13315,"OFF-ST-10001228,Fellowes Personal Hanging Folder Files, Navy",Organic,"10024,New York City",13/12/2016,CA-2016-146941
361.92,4,0,162.864,DL-13315,"OFF-EN-10003296,Tyvek Side-Opening Peel & Seel Expanding Envelopes",Organic,"10024,New York City",13/12/2016,CA-2016-146941
243.384,3,0.2,-51.7191,FM-14380,"OFF-ST-10001963,Tennsco Regal Shelving Units",Organic,"80013,Aurora",13/12/2016,US-2016-135720
119.8,5,0.2,29.95,FM-14380,"TEC-AC-10001267,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...",Organic,"80013,Aurora",13/12/2016,US-2016-135720
300.768,4,0.2,30.0768,FM-14380,"TEC-PH-10002103,Jabra SPEAK 410",Organic,"80013,Aurora",13/12/2016,US-2016-135720
1044.63,3,0,240.2649,EB-13870,"FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table",Organic,"84057,Orem",30/09/2015,CA-2015-106320
72.588,2,0.7,-48.392,RW-19540,"OFF-BI-10000778,GBC VeloBinder Electric Binding Machine",Sheila Stones,"85204,Mesa",30/09/2015,CA-2015-124800
119.904,6,0.2,-1.4988,RW-19540,"OFF-ST-10000798,2300 Heavy-Duty Transfer File Systems by Perma",Erica Jones,"85204,Mesa",30/09/2015,CA-2015-124800
363.648,4,0.2,-86.3664,RW-19540,"OFF-ST-10002743,SAFCO Boltless Steel Shelving",Sheila Stones,"85204,Mesa",30/09/2015,CA-2015-124800
77.031,9,0.7,-59.0571,RW-19540,"OFF-BI-10003984,Lock-Up Easel 'Spel-Binder'",Daniel Gates,"85204,Mesa",30/09/2015,CA-2015-124800
71.372,2,0.3,-1.0196,SF-20065,"FUR-CH-10002774,Global Deluxe Stacking Chair, Gray",Organic,"19140,Philadelphia",18/07/2017,US-2017-156909
73.32,6,0,21.996,CK-12325,"FUR-FU-10000246,Aluminum Document Frame",Jessica Smith,"84057,Orem",07/06/2014,CA-2014-104472
59.808,3,0.2,19.4376,CK-12325,"OFF-BI-10001658,GBC Standard Therm-A-Bind Covers",Daniel Gates,"84057,Orem",07/06/2014,CA-2014-104472
11.61,2,0.7,-9.288,IM-15070,"OFF-BI-10003638,GBC Durable Plastic Covers",Organic,"19120,Philadelphia",26/11/2015,null
11.648,2,0.2,4.2224,EH-13945,"OFF-BI-10001634,Wilson Jones Active Use Binders",Organic,"90049,Los Angeles",20/01/2016,CA-2016-121755
90.57,3,0,11.7741,EH-13945,"TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",Organic,"90049,Los Angeles",20/01/2016,CA-2016-121755
29.472,3,0.2,9.9468,MA-17560,"OFF-PA-10000249,Easy-staple paper",Organic,"77095,Houston",23/10/2017,CA-2017-107727
113.328,9,0.2,35.415,SN-20710,"OFF-EN-10002986,#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Organic,"77041,Houston",31/12/2015,CA-2015-117415
532.3992,3,0.32,-46.9764,SN-20710,"FUR-BO-10002545,Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Organic,"77041,Houston",31/12/2015,CA-2015-117415
212.058,3,0.3,-15.147,SN-20710,"FUR-CH-10004218,Global Fabric Manager's Chair, Dark Gray",Erica Jones,"77041,Houston",31/12/2015,CA-2015-117415
371.168,4,0.2,41.7564,SN-20710,"TEC-PH-10000486,Plantronics HL10 Handset Lifter",Organic,"77041,Houston",31/12/2015,CA-2015-117415
54.384,2,0.2,1.3596,EM-13960,"TEC-AC-10003657,Lenovo 17-Key USB Numeric Keypad",Organic,"19134,Philadelphia",31/12/2015,CA-2015-119697
7.104,2,0.2,2.3976,EH-14005,"OFF-FA-10002815,Staples",Steve Pepple,"33012,Hialeah",15/05/2014,null
147.168,4,0.2,16.5564,LC-16930,"TEC-PH-10004093,Panasonic Kx-TS550",Anne Wu,"60540,Naperville",15/09/2017,CA-2017-120999
77.88,2,0,3.894,RA-19885,"OFF-ST-10003479,Eldon Base for stackable storage shelf, platinum",Mary Gerrard,"90049,Los Angeles",22/07/2016,CA-2016-101343
20.016,3,0.2,6.255,AM-10360,"OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes",Erica Jones,"75051,Grand Prairie",22/07/2016,CA-2016-157000
37.224,3,0.2,3.7224,AM-10360,"OFF-ST-10001328,Personal Filing Tote with Lid, Black/Gray",Stella Given,"75051,Grand Prairie",22/07/2016,CA-2016-157000
95.616,2,0.2,9.5616,ES-14080,"OFF-ST-10003282,Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Sheila Stones,"32935,Melbourne",23/09/2017,CA-2017-139619
8.82,3,0,2.3814,SH-19975,"OFF-AR-10000940,Newell 343",Jimmy Grey,"94122,San Francisco",23/09/2017,CA-2017-106180
10.86,3,0,5.1042,SH-19975,"OFF-EN-10004030,Convenience Packs of Business Envelopes",Anne Wu,"94122,San Francisco",23/09/2017,CA-2017-106180
143.7,3,0,68.976,SH-19975,"OFF-PA-10004327,Xerox 1911",Abigail Thompson,"94122,San Francisco",23/09/2017,CA-2017-106180
176.8,8,0,22.984,FM-14290,"TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card",Organic,"90032,Los Angeles",30/08/2014,CA-2014-123260
45.98,2,0,19.7714,ON-18715,"TEC-AC-10000171,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Jimmy Grey,"55122,Eagan",13/03/2016,CA-2016-118255
17.46,2,0,8.2062,ON-18715,"OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings",Sheila Stones,"55122,Eagan",13/03/2016,CA-2016-118255
102.36,3,0.2,-3.8385,ZC-21910,"FUR-FU-10004006,Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Organic,"33142,Miami",13/03/2016,CA-2016-169103
1363.96,5,0.2,85.2475,ZC-21910,"TEC-PH-10001530,Cisco Unified IP Phone 7945G VoIP phone",Organic,"33142,Miami",13/03/2016,CA-2016-169103
93.06,6,0,26.0568,JH-15910,"OFF-ST-10001328,Personal Filing Tote with Lid, Black/Gray",Organic,"90032,Los Angeles",01/11/2016,CA-2016-130162
302.376,3,0.2,22.6782,JH-15910,"TEC-PH-10002563,Adtran 1202752G1",Organic,"90032,Los Angeles",01/11/2016,CA-2016-130162
211.96,4,0,8.4784,PO-18865,"OFF-ST-10001713,Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Organic,"48185,Westland",25/10/2014,CA-2014-146703
45,3,0,4.95,LH-16900,"TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",Organic,"19901,Dover",25/06/2016,CA-2016-169194
21.8,2,0,6.104,LH-16900,"TEC-PH-10003988,LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Organic,"19901,Dover",25/06/2016,CA-2016-169194
1044.63,5,0.4,-295.9785,SG-20470,"FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table",Organic,"10011,New York City",30/06/2017,US-2017-102890
38.22,6,0,17.9634,DP-13000,"OFF-BI-10004410,C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Organic,"47150,New Albany",22/04/2015,CA-2015-115742
75.18,6,0,35.3346,DP-13000,"OFF-LA-10002762,Avery 485",Organic,"47150,New Albany",22/04/2015,CA-2015-115742
6.16,2,0,2.9568,DP-13000,"FUR-FU-10001706,Longer-Life Soft White Bulbs",Organic,"47150,New Albany",22/04/2015,CA-2015-115742
89.99,1,0,17.0981,DP-13000,"FUR-CH-10003061,Global Leather Task Chair, Black",Organic,"47150,New Albany",22/04/2015,CA-2015-115742
383.607,7,0.1,63.9345,LF-17185,"FUR-CH-10001146,Global Value Mid-Back Manager's Chair, Gray",Organic,"10011,New York City",05/03/2015,CA-2015-109512
563.4,4,0,67.608,LF-17185,"OFF-ST-10000689,Fellowes Strictly Business Drawer File, Letter/Legal Size",Organic,"10011,New York City",05/03/2015,CA-2015-109512
63.88,4,0,24.9132,KH-16630,"TEC-AC-10001772,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive",Daniel Gates,"73071,Norman",17/12/2016,CA-2016-100153
454.9,5,0,0,BN-11515,"OFF-ST-10004123,Safco Industrial Wire Shelving System",Organic,"10011,New York City",24/05/2016,CA-2016-169943
39.76,8,0,12.3256,BN-11515,"FUR-FU-10000010,DAX Value U-Channel Document Frames, Easel Back",Organic,"10011,New York City",24/05/2016,CA-2016-169943
47.744,4,0.2,14.92,BN-11515,"OFF-BI-10002824,Recycled Easel Ring Binders",Organic,"10011,New York City",24/05/2016,CA-2016-169943
242.9,5,0,70.441,BN-11515,"OFF-AP-10001563,Belkin Premiere Surge Master II 8-outlet surge protector",Organic,"10011,New York City",24/05/2016,CA-2016-169943
104.28,3,0,26.07,EB-13930,"OFF-ST-10000604,Home/Office Personal File Carts",Organic,"94110,San Francisco",24/05/2016,CA-2016-122728
17.94,3,0,8.7906,EB-13930,"OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)",Organic,"94110,San Francisco",24/05/2016,CA-2016-122728
30,2,0,3.3,TB-21055,"TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",Organic,"12180,Troy",18/06/2016,CA-2016-111682
208.56,6,0,52.14,TB-21055,"OFF-ST-10000604,Home/Office Personal File Carts",Organic,"12180,Troy",18/06/2016,CA-2016-111682
32.4,5,0,15.552,TB-21055,"OFF-PA-10001569,Xerox 232",Organic,"12180,Troy",18/06/2016,CA-2016-111682
319.41,5,0.1,7.098,TB-21055,"FUR-CH-10003968,Novimex Turbo Task Chair",Organic,"12180,Troy",18/06/2016,CA-2016-111682
14.56,2,0,6.9888,TB-21055,"OFF-PA-10000587,Array Parchment Paper, Assorted Colors",Organic,"12180,Troy",18/06/2016,CA-2016-111682
48.48,4,0.2,16.362,TB-21055,"OFF-BI-10001460,Plastic Binding Combs",Organic,"12180,Troy",18/06/2016,CA-2016-111682
1.68,1,0,0.84,TB-21055,"OFF-AR-10001868,Prang Dustless Chalk Sticks",Organic,"12180,Troy",18/06/2016,CA-2016-111682
841.568,2,0.2,294.5488,AH-10075,"OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine",Mary Gerrard,"10011,New York City",20/09/2016,CA-2016-149797
13.98,2,0,6.1512,KM-16720,"TEC-AC-10004633,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Organic,"90004,Los Angeles",30/11/2015,CA-2015-135545
25.824,6,0.2,9.3612,KM-16720,"OFF-BI-10001078,Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Organic,"90004,Los Angeles",30/11/2015,CA-2015-135545
146.73,3,0,68.9631,KM-16720,"OFF-PA-10003892,Xerox 1943",Organic,"90004,Los Angeles",30/11/2015,CA-2015-135545
79.76,4,0,22.3328,KM-16720,"FUR-FU-10000397,Luxo Economy Swing Arm Lamp",Organic,"90004,Los Angeles",30/11/2015,CA-2015-135545
88.02,3,0,27.2862,NG-18355,"FUR-FU-10000521,Seth Thomas 14"" Putty-Colored Wall Clock",Stella Given,"10011,New York City",23/08/2017,CA-2017-117947
40.48,2,0,15.7872,NG-18355,"FUR-FU-10003849,DAX Metal Frame, Desktop, Stepped-Edge",Jimmy Grey,"10011,New York City",23/08/2017,CA-2017-117947
9.94,2,0,3.0814,NG-18355,"FUR-FU-10000010,DAX Value U-Channel Document Frames, Easel Back",Anne Wu,"10011,New York City",23/08/2017,CA-2017-117947
107.424,9,0.2,33.57,NG-18355,"OFF-BI-10002824,Recycled Easel Ring Binders",Steve Pepple,"10011,New York City",23/08/2017,CA-2017-117947
37.91,1,0,10.9939,NG-18355,"TEC-PH-10002538,Grandstream GXP1160 VoIP phone",Morris Garcia,"10011,New York City",23/08/2017,CA-2017-117947
866.4,4,0,225.264,NF-18385,"FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs",Organic,"39212,Jackson",23/08/2017,CA-2017-155705
213.115,5,0.3,-15.2225,PS-18970,"FUR-CH-10001146,Global Value Mid-Back Manager's Chair, Gray",Organic,"60610,Chicago",05/05/2015,US-2015-164175
3083.43,7,0.5,-1665.0522,TB-21520,"FUR-BO-10004834,Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Organic,"19140,Philadelphia",21/09/2015,null
9.618,2,0.7,-7.0532,TB-21520,"OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems",Organic,"19140,Philadelphia",21/09/2015,null
124.2,3,0.2,15.525,TB-21520,"FUR-FU-10004848,Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Organic,"19140,Philadelphia",21/09/2015,null
3.264,2,0.2,1.1016,TB-21520,"OFF-EN-10001509,Poly String Tie Envelopes",Organic,"19140,Philadelphia",21/09/2015,null
86.304,6,0.2,9.7092,TB-21520,"OFF-AR-10004042,BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Organic,"19140,Philadelphia",21/09/2015,null
6.858,6,0.7,-5.715,TB-21520,"OFF-BI-10001525,Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Organic,"19140,Philadelphia",21/09/2015,null
15.76,2,0.2,3.546,TB-21520,"OFF-AR-10001683,Lumber Crayons",Organic,"19140,Philadelphia",21/09/2015,null
8.652,3,0.8,-20.3322,RA-19915,"OFF-AP-10000696,Holmes Odor Grabber",Organic,"77095,Houston",05/05/2015,CA-2015-130792
23.832,3,0.2,2.6811,RA-19915,"OFF-ST-10003327,Akro-Mils 12-Gallon Tote",Organic,"77095,Houston",05/05/2015,CA-2015-130792
12.176,4,0.8,-18.8728,RA-19915,"OFF-BI-10000309,GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Organic,"77095,Houston",05/05/2015,CA-2015-130792
459.95,5,0,18.398,SP-20545,"OFF-ST-10001522,Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Stella Given,"10011,New York City",30/03/2016,CA-2016-123666
1113.024,8,0.2,111.3024,BS-11590,"OFF-AR-10002671,Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Sheila Stones,"85234,Gilbert",10/12/2014,CA-2014-106376
167.968,4,0.2,62.988,BS-11590,"TEC-PH-10002726,netTALK DUO VoIP Telephone Service",Jessica Smith,"85234,Gilbert",10/12/2014,CA-2014-106376
83.36,1,0,20.84,BD-11770,"OFF-ST-10002276,Safco Steel Mobile File Cart",Organic,"10011,New York City",16/11/2016,CA-2016-124667
75.88,2,0,35.6636,KD-16270,"OFF-PA-10000482,Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Organic,"22153,Springfield",06/06/2016,CA-2016-119823
19.05,3,0,8.763,TB-21520,"OFF-PA-10004675,Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Organic,"49201,Jackson",17/09/2017,CA-2017-114440
782.94,3,0,203.5644,CL-11890,"FUR-BO-10002545,Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Organic,"2149,Everett",17/09/2017,CA-2017-121888
16.28,2,0,6.512,CL-11890,"OFF-AR-10003478,Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Organic,"2149,Everett",17/09/2017,CA-2017-121888
8.82,2,0,4.0572,BB-10990,"OFF-PA-10002615,Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",Erica Jones,"90301,Inglewood",17/09/2017,CA-2017-118136
5.98,1,0,1.5548,BB-10990,"OFF-AR-10001427,Newell 330",Morris Garcia,"90301,Inglewood",17/09/2017,CA-2017-118136
56.56,4,0,14.7056,MP-17965,"FUR-FU-10004712,Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",Mary Gerrard,"1841,Lawrence",23/10/2017,null
32.7,3,0,8.502,MP-17965,"OFF-ST-10000918,Crate-A-Files",Morris Garcia,"1841,Lawrence",23/10/2017,null
787.53,3,0,165.3813,DK-13090,"FUR-TA-10001768,Hon Racetrack Conference Tables",Organic,"98103,Seattle",06/03/2015,CA-2015-110457
831.936,8,0.2,-114.3912,JE-15745,"FUR-CH-10000513,High-Back Leather Manager's Chair",Organic,"38109,Memphis",02/05/2015,US-2015-134026
97.04,2,0.2,1.213,JE-15745,"FUR-FU-10003708,Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Organic,"38109,Memphis",02/05/2015,US-2015-134026
72.784,1,0.2,-18.196,JE-15745,"OFF-ST-10004123,Safco Industrial Wire Shelving System",Organic,"38109,Memphis",02/05/2015,US-2015-134026
1618.37,13,0,356.0414,JS-15880,"FUR-TA-10003748,Bevis 36 x 72 Conference Tables",Organic,"98103,Seattle",24/12/2015,US-2015-126214
88.8,4,0.2,-2.22,CS-12130,"OFF-ST-10000107,Fellowes Super Stor/Drawer",Organic,"78745,Austin",24/12/2015,US-2015-120712
1.248,3,0.8,-1.9344,KB-16600,"OFF-BI-10004182,Economy Binders",Mary Gerrard,"77041,Houston",11/12/2017,US-2017-118038
9.708,3,0.6,-5.8248,KB-16600,"FUR-FU-10000260,6"" Cubicle Wall Clock, Black",Stella Given,"77041,Houston",11/12/2017,US-2017-118038
27.24,3,0.2,2.724,KB-16600,"OFF-ST-10000615,SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Alan Ray,"77041,Houston",11/12/2017,US-2017-118038
19.3,5,0.6,-14.475,JE-15745,"FUR-FU-10003194,Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Organic,"77070,Houston",01/12/2014,US-2014-147606
20.7,2,0,9.936,OT-18730,"OFF-LA-10001297,Avery 473",Organic,"90045,Los Angeles",15/06/2016,CA-2016-113243
1335.68,4,0.2,-217.048,OT-18730,"FUR-TA-10004256,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables",Organic,"90045,Los Angeles",15/06/2016,CA-2016-113243
32.4,5,0,15.552,OT-18730,"OFF-PA-10003441,Xerox 226",Organic,"90045,Los Angeles",15/06/2016,CA-2016-113243
355.96,2,0,103.2284,BT-11485,"OFF-AP-10002518,Kensington 7 Outlet MasterPiece Power Center",Thompson Crawford,"20735,Clinton",31/12/2015,null
14.352,3,0.2,5.2026,MS-17710,"OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)",Organic,"76106,Fort Worth",26/05/2016,CA-2016-119186
105.42,2,0,51.6558,MD-17350,"OFF-EN-10001434,Strathmore #10 Envelopes, Ultimate White",Organic,"72701,Fayetteville",31/12/2015,null
14.9,5,0,4.172,DN-13690,"OFF-AR-10002053,Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Organic,"94122,San Francisco",16/10/2014,CA-2014-139451
21.39,1,0,6.2031,DN-13690,"OFF-ST-10002370,Sortfiler Multipurpose Personal File Organizer, Black",Organic,"94122,San Francisco",16/10/2014,CA-2014-139451
106.96,2,0,31.0184,AG-10900,"OFF-AP-10000240,Belkin F9G930V10-GRY 9 Outlet Surge",Organic,"90008,Los Angeles",31/12/2015,null
58.112,2,0.2,7.264,PG-18895,"TEC-AC-10001465,SanDisk Cruzer 64 GB USB Flash Drive",Organic,"76106,Fort Worth",16/05/2014,CA-2014-103849
100.792,1,0.2,6.2995,PG-18895,"TEC-PH-10002597,Xblue XB-1670-86 X16 Small Office Telephone - Titanium",Organic,"76106,Fort Worth",16/05/2014,CA-2014-103849
66.112,4,0.6,-84.2928,PG-18895,"FUR-FU-10000723,Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Organic,"76106,Fort Worth",16/05/2014,CA-2014-103849
200.984,7,0.2,62.8075,JC-16105,"OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers",Steve Pepple,"27707,Durham",08/09/2015,CA-2015-149734
279.9,5,0,137.151,CS-12355,"OFF-PA-10001970,Xerox 1908",Organic,"30076,Roswell",08/09/2015,CA-2015-142755
15.28,2,0,7.4872,CS-12355,"OFF-EN-10004459,Security-Tint Envelopes",Organic,"30076,Roswell",08/09/2015,CA-2015-142755
619.95,5,0,111.591,CS-12355,"TEC-AC-10002049,Logitech G19 Programmable Gaming Keyboard",Organic,"30076,Roswell",08/09/2015,CA-2015-142755
230.376,3,0.2,-48.9549,CS-12400,"OFF-ST-10003656,Safco Industrial Wire Shelving",Organic,"60623,Chicago",16/11/2017,US-2017-119662
10.56,2,0,4.752,DB-13120,"OFF-PA-10002479,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)",Daniel Gates,"95051,Santa Clara",16/11/2017,CA-2017-160514
301.96,2,0,33.2156,PO-18865,"FUR-CH-10000863,Novimex Swivel Fabric Task Chair",Organic,"29203,Columbia",30/05/2017,CA-2017-140088
19.99,1,0,6.7966,PG-18895,"TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired",Organic,"55901,Rochester",02/11/2017,CA-2017-155558
